뇌관,암석분류,SR SD,CR SD,최대입자속도
전자,화성암,70.71,58.48,0.124
전자,화성암,68.94,57.02,0.141
전자,화성암,71.18,57.74,0.124
전자,화성암,64.83,55.65,0.18899999999999997
전자,화성암,106.07,87.72,0.027000000000000003
전자,화성암,104.3,86.26,0.044000000000000004
전자,화성암,108.64,88.13,0.033
전자,화성암,96.45,82.79,0.035
전자,화성암,141.42,116.96,0.021
전자,화성암,139.65,115.5,0.038
전자,화성암,146.11,118.53,0.028999999999999998
전자,화성암,128.07,109.93,0.024
전자,화성암,176.78,146.2,0.019
전자,화성암,175.01,144.74,0.027000000000000003
전자,화성암,183.57,148.92,0.021
전자,화성암,159.7,137.08,0.019
전자,화성암,215.67,178.37,0.006999999999999999
전자,화성암,213.9,176.9,0.019
전자,화성암,224.78,182.35,0.013999999999999999
전자,화성암,194.48,166.94,0.012
전자,화성암,263.4,217.84,0.009000000000000001
전자,화성암,261.63,216.38,0.023
전자,화성암,275.36,223.38,0.015
전자,화성암,237.17,203.58,0.017
전자,화성암,268.7,222.23,0.008
전자,화성암,266.93,220.76,0.013000000000000001
전자,화성암,280.98,227.93,0.01
전자,화성암,241.91,207.65,0.006999999999999999
전자,화성암,319.97,264.62,0.01
전자,화성암,318.2,263.16,0.017
전자,화성암,335.3,272.0,0.016
전자,화성암,287.77,247.01,0.008
전자,화성암,40.82,34.67,0.37
전자,화성암,48.99,41.6,0.452
전자,화성암,58.79,49.92,0.187
전자,화성암,45.72,38.83,0.384
전자,화성암,70.22,59.63,0.31
전자,화성암,238.42,202.46,0.016
전자,화성암,181.26,153.93,0.022000000000000002
전자,화성암,75.12,63.79,0.264
전자,화성암,130.64,110.94,0.038
전자,화성암,181.26,153.93,0.03
전자,화성암,207.39,176.11,0.03
전자,화성암,42.46,36.05,0.452
전자,화성암,57.15,48.54,0.483
전자,화성암,63.69,54.08,0.36700000000000005
전자,화성암,58.79,49.92,0.322
전자,화성암,215.56,183.05,0.019
전자,화성암,209.02,177.5,0.024
전자,화성암,102.88,87.36,0.067
전자,화성암,143.7,122.03,0.055999999999999994
전자,화성암,164.93,140.06,0.039
전자,화성암,136.94,105.15,0.018000000000000002
전자,화성암,79.51,61.05,0.095
전자,화성암,92.76,71.23,0.065
전자,화성암,75.09,57.66,0.087
전자,화성암,103.81,79.71,0.07
전자,화성암,114.85,88.19,0.035
전자,화성암,132.52,101.76,0.064
전자,화성암,245.16,188.25,0.022000000000000002
전자,화성암,256.2,196.73,0.019
전자,화성암,265.04,203.52,0.013999999999999999
전자,화성암,99.17,76.15,0.059000000000000004
전자,화성암,100.27,77.0,0.052000000000000005
전자,화성암,109.33,83.95,0.075
전자,화성암,96.08,73.77,0.071
전자,화성암,104.91,80.56,0.021
전자,화성암,94.97,72.93,0.025
전자,화성암,109.11,83.78,0.03
전자,화성암,143.12,109.9,0.016
전자,화성암,253.11,194.36,0.013999999999999999
전자,화성암,100.27,77.0,0.038
전자,화성암,101.82,78.18,0.049
전자,화성암,110.65,84.97,0.049
전자,화성암,96.52,74.11,0.055999999999999994
전자,화성암,103.36,79.37,0.022000000000000002
전자,화성암,93.43,71.74,0.019
전자,화성암,108.0,82.93,0.033
전자,화성암,141.35,108.54,0.018000000000000002
전자,화성암,106.6,84.61,0.027000000000000003
전자,화성암,99.2,78.74,0.04
전자,화성암,104.6,83.02,0.022000000000000002
전자,화성암,103.2,81.91,0.032
전자,화성암,102.8,81.59,0.025
전자,화성암,129.0,102.39,0.022000000000000002
전자,화성암,146.6,116.36,0.018000000000000002
전자,화성암,122.7,83.59,0.10800000000000001
전자,화성암,145.46,99.1,0.156
전자,화성암,178.04,121.29,0.051
전자,화성암,79.0,62.27,0.17300000000000001
전자,화성암,95.73,75.47,0.157
전자,화성암,118.19,93.17,0.051
전자,화성암,79.0,62.27,0.135
전자,화성암,96.55,76.11,0.133
전자,화성암,119.82,94.46,0.051
전자,화성암,99.0,78.04,0.033
전자,화성암,79.0,62.27,0.141
전자,화성암,97.57,76.92,0.157
전자,화성암,121.45,95.74,0.064
전자,화성암,80.22,63.24,0.078
전자,화성암,77.57,61.15,0.127
전자,화성암,77.57,61.15,0.10800000000000001
전자,화성암,99.2,78.2,0.13699999999999998
전자,화성암,79.81,62.92,0.18100000000000002
전자,화성암,77.36,60.99,0.11599999999999999
전자,화성암,77.16,60.83,0.114
전자,화성암,100.02,78.85,0.245
전자,화성암,91.24,71.93,0.044000000000000004
전자,화성암,79.4,62.6,0.091
전자,화성암,77.57,61.15,0.14
전자,화성암,100.84,79.49,0.18899999999999997
전자,화성암,92.8,73.66,0.055999999999999994
전자,화성암,77.4,61.43,0.1
전자,화성암,75.8,60.16,0.122
전자,화성암,99.8,79.21,0.121
전자,화성암,75.4,59.85,0.16
전자,화성암,90.8,72.07,0.138
전자,화성암,106.0,84.13,0.13
전자,화성암,92.75,78.77,0.035
전자,화성암,80.67,68.5,0.038
전자,화성암,62.71,53.25,0.067
전자,화성암,85.24,72.39,0.028999999999999998
전자,화성암,90.47,76.82,0.035
전자,화성암,78.71,66.84,0.062
전자,화성암,62.54,53.11,0.052000000000000005
전자,화성암,88.39,73.1,0.102
전자,화성암,86.62,71.64,0.114
전자,화성암,89.91,72.94,0.102
전자,화성암,80.64,69.22,0.12
전자,화성암,123.74,102.34,0.033
전자,화성암,121.98,100.88,0.049
전자,화성암,127.38,103.33,0.04
전자,화성암,110.68,95.0,0.022000000000000002
전자,화성암,159.1,131.58,0.027000000000000003
전자,화성암,157.33,130.12,0.032
전자,화성암,164.84,133.72,0.022000000000000002
전자,화성암,143.88,123.51,0.024
전자,화성암,185.62,153.51,0.024
전자,화성암,183.85,152.05,0.032
전자,화성암,192.94,156.51,0.028999999999999998
전자,화성암,167.6,143.86,0.01
전자,화성암,252.79,209.07,0.013999999999999999
전자,화성암,251.02,207.61,0.016
전자,화성암,264.12,214.26,0.013000000000000001
전자,화성암,227.68,195.44,0.008
전자,화성암,438.41,362.58,0.012
전자,화성암,436.64,361.12,0.01
전자,화성암,460.8,373.81,0.012
전자,화성암,393.7,337.94,0.012
전자,화성암,503.81,416.67,0.015
전자,화성암,502.05,415.21,0.015
전자,화성암,530.11,430.04,0.015
전자,화성암,452.21,388.16,0.012
전자,화성암,88.39,73.1,0.102
전자,화성암,86.62,71.64,0.08900000000000001
전자,화성암,89.91,72.94,0.102
전자,화성암,80.64,69.22,0.127
전자,화성암,123.74,102.34,0.051
전자,화성암,121.98,100.88,0.051
전자,화성암,127.38,103.33,0.038
전자,화성암,112.26,96.36,0.013000000000000001
전자,화성암,159.1,131.58,0.028999999999999998
전자,화성암,157.33,130.12,0.043
전자,화성암,164.84,133.72,0.025
전자,화성암,143.88,123.51,0.006
전자,화성암,185.62,153.51,0.038
전자,화성암,183.85,152.05,0.037000000000000005
전자,화성암,192.94,156.51,0.022000000000000002
전자,화성암,167.6,143.86,0.021
전자,화성암,251.02,207.61,0.03
전자,화성암,249.26,206.14,0.028999999999999998
전자,화성암,262.24,212.74,0.019
전자,화성암,226.1,194.08,0.008
전자,화성암,440.17,364.04,0.012
전자,화성암,438.41,362.58,0.013999999999999999
전자,화성암,462.67,375.33,0.012
전자,화성암,395.28,339.3,0.015
전자,화성암,503.81,416.67,0.015
전자,화성암,502.05,415.21,0.015
전자,화성암,530.11,430.04,0.015
전자,화성암,452.21,388.16,0.012
전자,화성암,53.75,49.9,0.435
전자,화성암,77.5,71.94,0.142
전자,화성암,90.0,83.55,0.11599999999999999
전자,화성암,150.0,139.25,0.057
전자,화성암,227.5,211.19,0.023
전자,화성암,375.0,348.12,0.011000000000000001
전자,화성암,38.89,32.16,0.184
전자,화성암,74.25,61.4,0.08800000000000001
전자,화성암,114.9,95.03,0.032
전자,화성암,88.39,73.1,0.043
전자,화성암,173.24,143.28,0.022000000000000002
전자,화성암,167.94,138.89,0.027000000000000003
전자,화성암,30.02,22.71,0.24100000000000002
전자,화성암,27.71,20.97,0.22899999999999998
전자,화성암,23.19,18.09,0.24100000000000002
전자,화성암,32.33,24.46,0.17800000000000002
전자,화성암,78.52,59.4,0.057999999999999996
전자,화성암,76.21,57.66,0.102
전자,화성암,67.46,52.61,0.095
전자,화성암,80.83,61.15,0.079
전자,화성암,92.38,69.89,0.04
전자,화성암,90.07,68.14,0.084
전자,화성암,80.11,62.48,0.067
전자,화성암,94.69,71.63,0.052000000000000005
전자,화성암,115.47,87.36,0.033
전자,화성암,113.16,85.61,0.049
전자,화성암,101.19,78.92,0.040999999999999995
전자,화성암,117.78,89.11,0.051
전자,화성암,124.71,94.35,0.075
전자,화성암,122.4,92.6,0.095
전자,화성암,109.63,85.5,0.013999999999999999
전자,화성암,127.02,96.09,0.07
전자,화성암,138.56,104.83,0.022000000000000002
전자,화성암,136.25,103.08,0.024
전자,화성암,122.27,95.36,0.025
전자,화성암,140.87,106.58,0.024
전자,화성암,242.49,183.45,0.011000000000000001
전자,화성암,240.18,181.7,0.011000000000000001
전자,화성암,217.14,169.35,0.003
전자,화성암,244.8,185.2,0.002
전자,화성암,256.34,193.93,0.016
전자,화성암,254.03,192.19,0.016
전자,화성암,229.79,179.21,0.016
전자,화성암,258.65,195.68,0.027000000000000003
전자,화성암,355.65,269.06,0.021
전자,화성암,353.34,267.32,0.024
전자,화성암,320.44,249.91,0.003
전자,화성암,357.96,270.81,0.003
전자,화성암,607.37,459.5,0.004
전자,화성암,605.06,457.76,0.006
전자,화성암,550.24,429.12,0.006999999999999999
전자,화성암,609.68,461.25,0.006999999999999999
전자,화성암,25.5,18.79,0.34299999999999997
전자,화성암,23.0,16.95,0.419
전자,화성암,30.0,22.1,0.152
전자,화성암,35.0,25.79,0.34299999999999997
전자,화성암,32.5,23.95,0.381
전자,화성암,40.0,29.47,0.22899999999999998
전자,화성암,101.25,74.6,0.064
전자,화성암,98.75,72.76,0.049
전자,화성암,102.5,75.52,0.439
전자,화성암,150.0,110.52,0.016
전자,화성암,147.5,108.68,0.048
전자,화성암,145.0,106.84,0.051
전자,화성암,152.5,112.36,0.03
전자,화성암,175.0,128.94,0.021
전자,화성암,172.5,127.1,0.037000000000000005
전자,화성암,170.0,125.26,0.037000000000000005
전자,화성암,177.5,130.78,0.024
전자,화성암,200.0,147.36,0.022000000000000002
전자,화성암,197.5,145.52,0.033
전자,화성암,195.0,143.68,0.035
전자,화성암,202.5,149.2,0.019
전자,화성암,222.5,163.94,0.032
전자,화성암,220.0,162.1,0.027000000000000003
전자,화성암,227.5,167.62,0.022000000000000002
전자,화성암,56.58,53.93,0.235
전자,화성암,73.9,70.44,0.261
전자,화성암,91.22,86.95,0.268
전자,화성암,108.54,103.46,0.22899999999999998
전자,화성암,125.86,119.97,0.162
전자,화성암,143.18,136.48,0.156
전자,화성암,160.5,152.99,0.17600000000000002
전자,화성암,185.91,177.2,0.040999999999999995
전자,화성암,56.58,53.93,0.048
전자,화성암,73.9,70.44,0.031
전자,화성암,91.22,86.95,0.024
전자,화성암,108.54,103.46,0.038
전자,화성암,125.86,119.97,0.016
전자,화성암,143.18,136.48,0.015
전자,화성암,160.5,152.99,0.011000000000000001
전자,화성암,183.6,175.0,0.009000000000000001
전자,화성암,152.16,146.61,0.031
전자,화성암,124.24,128.08,0.05
전자,화성암,157.15,149.8,0.028999999999999998
전자,화성암,180.12,173.54,0.023
전자,화성암,180.12,173.54,0.021
전자,화성암,147.06,151.6,0.027000000000000003
전자,화성암,208.07,200.47,0.02
전자,화성암,208.07,200.47,0.021
전자,화성암,208.07,200.47,0.017
전자,화성암,49.64,42.16,0.8290000000000001
전자,화성암,49.64,42.16,0.932
전자,화성암,49.64,42.16,0.799
전자,화성암,60.8,48.26,0.701
전자,화성암,49.64,42.16,0.866
전자,화성암,130.64,110.94,0.068
전자,화성암,130.64,110.94,0.075
전자,화성암,160.0,126.99,0.091
전자,화성암,130.64,110.94,0.095
전자,화성암,130.64,110.94,0.1
전자,화성암,179.63,152.54,0.021
전자,화성암,179.63,152.54,0.032
전자,화성암,179.63,152.54,0.02
전자,화성암,179.63,152.54,0.022000000000000002
전자,화성암,220.0,174.61,0.016
전자,화성암,212.29,180.27,0.011000000000000001
전자,화성암,212.29,180.27,0.017
전자,화성암,212.29,180.27,0.012
전자,화성암,212.29,180.27,0.013000000000000001
전자,화성암,212.29,180.27,0.015
전자,화성암,245.11,208.15,0.01
전자,화성암,245.11,208.15,0.013000000000000001
전자,화성암,245.11,208.15,0.009000000000000001
전자,화성암,245.11,208.15,0.012
전자,화성암,300.2,238.27,0.01
전자,화성암,277.77,235.88,0.011000000000000001
전자,화성암,277.77,235.88,0.01
전자,화성암,277.77,235.88,0.013000000000000001
전자,화성암,277.77,235.88,0.011000000000000001
전자,화성암,277.77,235.88,0.01
전자,화성암,100.0,73.68,0.025
전자,화성암,97.5,71.84,0.068
전자,화성암,95.0,70.0,0.068
전자,화성암,102.5,75.52,0.032
전자,화성암,125.0,92.1,0.019
전자,화성암,122.5,90.26,0.033
전자,화성암,120.0,88.42,0.028999999999999998
전자,화성암,127.5,93.94,0.025
전자,화성암,150.0,110.52,0.024
전자,화성암,147.5,108.68,0.033
전자,화성암,145.0,106.84,0.006
전자,화성암,152.5,112.36,0.006
전자,화성암,175.0,128.94,0.024
전자,화성암,172.5,127.1,0.028999999999999998
전자,화성암,170.0,125.26,0.01
전자,화성암,177.5,130.78,0.006
전자,화성암,200.0,147.36,0.019
전자,화성암,197.5,145.52,0.027000000000000003
전자,화성암,195.0,143.68,0.008
전자,화성암,202.5,149.2,0.006
전자,화성암,57.5,42.37,0.071
전자,화성암,55.0,40.52,0.114
전자,화성암,52.5,38.68,0.08900000000000001
전자,화성암,60.0,44.21,0.044000000000000004
전자,화성암,400.0,294.72,0.015
전자,화성암,397.5,292.88,0.015
전자,화성암,395.0,291.04,0.012
전자,화성암,402.5,296.56,0.012
전자,화성암,430.0,316.83,0.012
전자,화성암,427.5,314.98,0.022000000000000002
전자,화성암,425.0,313.14,0.027000000000000003
전자,화성암,432.5,318.67,0.015
전자,화성암,44.72,34.2,0.153
전자,화성암,42.49,32.49,0.337
전자,화성암,40.25,30.78,0.289
전자,화성암,46.96,35.91,0.091
전자,화성암,55.9,42.75,0.09699999999999999
전자,화성암,53.67,41.04,0.09699999999999999
전자,화성암,51.43,39.33,0.051
전자,화성암,58.14,44.46,0.011000000000000001
전자,화성암,89.44,68.4,0.040999999999999995
전자,화성암,87.21,66.69,0.085
전자,화성암,84.97,64.98,0.064
전자,화성암,91.68,70.11,0.012
전자,화성암,109.57,83.79,0.040999999999999995
전자,화성암,107.33,82.08,0.054000000000000006
전자,화성암,105.1,80.37,0.042
전자,화성암,111.8,85.5,0.026000000000000002
전자,화성암,114.04,87.21,0.038
전자,화성암,111.8,85.5,0.049
전자,화성암,109.57,83.79,0.038
전자,화성암,116.28,88.92,0.017
전자,화성암,111.8,85.5,0.045
전자,화성암,109.57,83.79,0.049
전자,화성암,107.33,82.08,0.048
전자,화성암,114.04,87.21,0.021
전자,화성암,134.16,102.6,0.035
전자,화성암,131.93,100.89,0.039
전자,화성암,129.69,99.18,0.02
전자,화성암,136.4,104.31,0.009000000000000001
전자,화성암,156.52,119.7,0.02
전자,화성암,154.29,117.99,0.02
전자,화성암,152.05,116.28,0.016
전자,화성암,158.76,121.41,0.004
전자,화성암,178.89,136.8,0.018000000000000002
전자,화성암,176.65,135.09,0.018000000000000002
전자,화성암,174.41,133.38,0.013000000000000001
전자,화성암,181.12,138.51,0.002
전자,화성암,223.61,171.0,0.013999999999999999
전자,화성암,221.37,169.29,0.019
전자,화성암,219.13,167.58,0.013000000000000001
전자,화성암,225.84,172.71,0.005
전자,화성암,50.0,36.84,0.225
전자,화성암,47.5,35.0,0.43700000000000006
전자,화성암,39.76,30.53,0.47600000000000003
전자,화성암,52.5,38.68,0.289
전자,화성암,75.0,55.26,0.071
전자,화성암,72.5,53.42,0.121
전자,화성암,61.84,47.49,0.225
전자,화성암,77.5,57.1,0.11900000000000001
전자,화성암,87.5,64.47,0.084
전자,화성암,85.0,62.63,0.12300000000000001
전자,화성암,72.88,55.97,0.171
전자,화성암,90.0,66.31,0.09699999999999999
전자,화성암,125.0,92.1,0.040999999999999995
전자,화성암,122.5,90.26,0.067
전자,화성암,106.01,81.41,0.10300000000000001
전자,화성암,127.5,93.94,0.057
전자,화성암,155.0,114.2,0.027999999999999997
전자,화성암,152.5,112.36,0.052000000000000005
전자,화성암,132.52,101.76,0.06
전자,화성암,157.5,116.05,0.034
전자,화성암,187.5,138.15,0.044000000000000004
전자,화성암,185.0,136.31,0.062
전자,화성암,161.23,123.81,0.084
전자,화성암,190.0,139.99,0.049
전자,화성암,225.0,165.78,0.013999999999999999
전자,화성암,222.5,163.94,0.021
전자,화성암,194.36,149.24,0.005
전자,화성암,227.5,167.62,0.006
전자,화성암,87.5,64.47,0.064
전자,화성암,69.4,54.71,0.203
전자,화성암,72.88,55.97,0.114
전자,화성암,73.48,57.93,0.038
전자,화성암,125.0,92.1,0.051
전자,화성암,100.02,78.85,0.114
전자,화성암,106.01,81.41,0.013000000000000001
전자,화성암,104.1,82.07,0.013000000000000001
전자,화성암,150.0,110.52,0.021
전자,화성암,120.43,94.94,0.044000000000000004
전자,화성암,128.1,98.37,0.037000000000000005
전자,화성암,124.52,98.16,0.016
전자,화성암,175.0,128.94,0.024
전자,화성암,140.85,111.03,0.043
전자,화성암,150.19,115.33,0.018000000000000002
전자,화성암,144.93,114.25,0.013000000000000001
전자,화성암,200.0,147.36,0.018000000000000002
전자,화성암,161.26,127.12,0.024
전자,화성암,172.27,132.28,0.006
전자,화성암,165.34,130.34,0.006
전자,화성암,225.0,165.78,0.018000000000000002
전자,화성암,181.67,143.21,0.013000000000000001
전자,화성암,194.36,149.24,0.005
전자,화성암,185.75,146.43,0.005
전자,화성암,250.0,184.2,0.016
