암석분류,암종,심발,SR SD,CR SD,최대입자속도
변성암,편마암,Cylinder-cut,118.7,121.05,0.031
변성암,편마암,Cylinder-cut,134.81,131.84,0.038
변성암,편마암,Cylinder-cut,132.56,129.64,0.043
변성암,편마암,Cylinder-cut,132.35,129.43,0.037000000000000005
변성암,편마암,Cylinder-cut,130.85,127.97,0.049
변성암,편마암,Cylinder-cut,112.25,109.78,0.059000000000000004
변성암,편마암,Cylinder-cut,111.18,108.73,0.045
변성암,편마암,Cylinder-cut,109.04,106.64,0.057999999999999996
변성암,편마암,Cylinder-cut,109.58,107.17,0.067
변성암,편마암,Cylinder-cut,107.87,105.49,0.057
변성암,편마암,Cylinder-cut,128.39,125.57,0.039
변성암,편마암,Cylinder-cut,126.68,123.89,0.04
변성암,편마암,Cylinder-cut,127.0,124.21,0.051
변성암,편마암,Cylinder-cut,124.01,121.28,0.048
변성암,편마암,Cylinder-cut,125.08,122.33,0.037000000000000005
변성암,편마암,Cylinder-cut,154.26,150.87,0.02
변성암,편마암,Cylinder-cut,153.3,149.93,0.03
변성암,편마암,Cylinder-cut,153.3,149.93,0.021
변성암,편마암,Cylinder-cut,153.19,149.82,0.027000000000000003
변성암,편마암,Cylinder-cut,162.0,154.42,0.022000000000000002
변성암,편마암,Cylinder-cut,87.78,89.52,0.065
변성암,편마암,Cylinder-cut,99.21,97.02,0.055999999999999994
변성암,편마암,Cylinder-cut,96.21,94.1,0.064
변성암,편마암,Cylinder-cut,95.15,93.05,0.055
변성암,편마암,Cylinder-cut,97.07,94.93,0.06
변성암,편마암,Cylinder-cut,51.95,52.98,0.11800000000000001
변성암,편마암,Cylinder-cut,59.23,57.92,0.09300000000000001
변성암,편마암,Cylinder-cut,57.62,56.35,0.114
변성암,편마암,Cylinder-cut,56.98,55.73,0.10099999999999999
변성암,편마암,Cylinder-cut,59.7,56.9,0.091
변성암,편마암,Cylinder-cut,69.96,71.34,0.10800000000000001
변성암,편마암,Cylinder-cut,79.54,77.79,0.076
변성암,편마암,Cylinder-cut,79.43,77.68,0.079
변성암,편마암,Cylinder-cut,76.86,75.17,0.121
변성암,편마암,Cylinder-cut,81.87,78.04,0.067
변성암,편마암,Cylinder-cut,72.88,74.32,0.067
변성암,편마암,Cylinder-cut,81.57,79.77,0.064
변성암,편마암,Cylinder-cut,82.1,80.3,0.066
변성암,편마암,Cylinder-cut,79.43,77.68,0.086
변성암,편마암,Cylinder-cut,81.03,79.25,0.065
변성암,편마암,Cylinder-cut,79.38,80.96,0.061
변성암,편마암,Cylinder-cut,90.12,88.14,0.057999999999999996
변성암,편마암,Cylinder-cut,89.16,87.2,0.075
변성암,편마암,Cylinder-cut,87.55,85.63,0.059000000000000004
변성암,편마암,Cylinder-cut,86.06,84.16,0.061
변성암,편마암,Cylinder-cut,72.2,57.31,0.066
변성암,편마암,Cylinder-cut,70.8,56.19,0.062
변성암,편마암,Cylinder-cut,69.2,54.92,0.06
변성암,편마암,Cylinder-cut,67.8,53.81,0.071
변성암,편마암,Cylinder-cut,65.0,51.59,0.07400000000000001
변성암,편마암,Cylinder-cut,86.4,68.58,0.028999999999999998
변성암,편마암,Cylinder-cut,86.4,68.58,0.042
변성암,편마암,Cylinder-cut,85.0,67.46,0.040999999999999995
변성암,편마암,Cylinder-cut,83.8,66.51,0.033
변성암,편마암,Cylinder-cut,82.6,65.56,0.040999999999999995
변성암,편마암,Cylinder-cut,147.0,116.67,0.012
변성암,편마암,Cylinder-cut,147.0,116.67,0.017
변성암,편마암,Cylinder-cut,147.0,116.67,0.015
변성암,편마암,Cylinder-cut,146.2,116.04,0.017
변성암,편마암,Cylinder-cut,143.6,113.98,0.016
변성암,편마암,Cylinder-cut,136.0,107.94,0.027000000000000003
변성암,편마암,Cylinder-cut,136.0,107.94,0.036000000000000004
변성암,편마암,Cylinder-cut,134.6,106.83,0.024
변성암,편마암,Cylinder-cut,134.6,106.83,0.024
변성암,편마암,Cylinder-cut,133.2,105.72,0.026000000000000002
변성암,편마암,Cylinder-cut,61.2,48.57,0.065
변성암,편마암,Cylinder-cut,59.6,47.3,0.059000000000000004
변성암,편마암,Cylinder-cut,59.6,47.3,0.087
변성암,편마암,Cylinder-cut,58.0,46.03,0.071
변성암,편마암,Cylinder-cut,58.0,46.03,0.071
변성암,편마암,Cylinder-cut,68.0,53.97,0.046
변성암,편마암,Cylinder-cut,68.0,53.97,0.06
변성암,편마암,Cylinder-cut,66.6,52.86,0.047
변성암,편마암,Cylinder-cut,65.0,51.59,0.057
변성암,편마암,Cylinder-cut,63.6,50.48,0.07200000000000001
변성암,편마암,Cylinder-cut,73.54,52.0,0.111
변성암,편마암,Cylinder-cut,70.71,50.0,0.076
변성암,편마암,Cylinder-cut,67.88,48.0,0.025
변성암,편마암,Cylinder-cut,65.05,46.0,0.114
변성암,편마암,Cylinder-cut,76.37,54.0,0.059000000000000004
변성암,편마암,Cylinder-cut,84.85,60.0,0.055999999999999994
변성암,편마암,Cylinder-cut,82.02,58.0,0.046
변성암,편마암,Cylinder-cut,79.2,56.0,0.013999999999999999
변성암,편마암,Cylinder-cut,76.37,54.0,0.049
변성암,편마암,Cylinder-cut,87.68,62.0,0.049
변성암,편마암,Cylinder-cut,113.14,80.0,0.040999999999999995
변성암,편마암,Cylinder-cut,110.31,78.0,0.032
변성암,편마암,Cylinder-cut,107.48,76.0,0.013999999999999999
변성암,편마암,Cylinder-cut,104.65,74.0,0.038
변성암,편마암,Cylinder-cut,115.97,82.0,0.024
변성암,편마암,Cylinder-cut,155.56,110.0,0.037000000000000005
변성암,편마암,Cylinder-cut,152.74,108.0,0.022000000000000002
변성암,편마암,Cylinder-cut,149.91,106.0,0.013999999999999999
변성암,편마암,Cylinder-cut,147.08,104.0,0.019
변성암,편마암,Cylinder-cut,183.85,130.0,0.025
변성암,편마암,Cylinder-cut,181.02,128.0,0.019
변성암,편마암,Cylinder-cut,178.19,126.0,0.011000000000000001
변성암,편마암,Cylinder-cut,175.36,124.0,0.018000000000000002
변성암,편마암,Cylinder-cut,186.68,132.0,0.018000000000000002
변성암,편마암,Cylinder-cut,101.82,72.0,0.043
변성암,편마암,Cylinder-cut,98.99,70.0,0.043
변성암,편마암,Cylinder-cut,96.17,68.0,0.019
변성암,편마암,Cylinder-cut,93.34,66.0,0.049
변성암,편마암,Cylinder-cut,104.65,74.0,0.025
변성암,편마암,Cylinder-cut,34.47,35.92,0.31
변성암,편마암,Cylinder-cut,27.0,27.0,0.27
변성암,편마암,Cylinder-cut,32.0,32.0,0.1
변성암,편마암,Cylinder-cut,31.0,31.0,0.07
변성암,편마암,Cylinder-cut,32.0,32.0,0.1
변성암,편마암,Cylinder-cut,30.0,30.0,0.12
변성암,편마암,Cylinder-cut,32.0,32.0,0.067
변성암,편마암,Cylinder-cut,34.0,34.0,0.1
변성암,편마암,Cylinder-cut,27.0,27.0,0.1
