화약,심발,SR SD,CR SD,최대입자속도
정밀폭약,Cylinder-cut,37.95,29.59,0.083
정밀폭약,Cylinder-cut,59.03,46.04,0.064
정밀폭약,Cylinder-cut,75.89,59.19,0.066
정밀폭약,Cylinder-cut,82.22,64.12,0.059000000000000004
정밀폭약,Cylinder-cut,101.19,78.92,0.006999999999999999
정밀폭약,Cylinder-cut,122.27,95.36,0.019
정밀폭약,Cylinder-cut,143.36,111.8,0.005
정밀폭약,Cylinder-cut,65.05,46.0,0.114
정밀폭약,Cylinder-cut,76.37,54.0,0.049
정밀폭약,Cylinder-cut,104.65,74.0,0.038
정밀폭약,Cylinder-cut,147.08,104.0,0.019
정밀폭약,Cylinder-cut,175.36,124.0,0.018000000000000002
정밀폭약,Cylinder-cut,93.34,66.0,0.049
정밀폭약,Cylinder-cut,71.18,57.74,0.124
정밀폭약,Cylinder-cut,108.64,88.13,0.033
정밀폭약,Cylinder-cut,146.11,118.53,0.028999999999999998
정밀폭약,Cylinder-cut,183.57,148.92,0.021
정밀폭약,Cylinder-cut,224.78,182.35,0.013999999999999999
정밀폭약,Cylinder-cut,275.36,223.38,0.015
정밀폭약,Cylinder-cut,280.98,227.93,0.01
정밀폭약,Cylinder-cut,335.3,272.0,0.016
정밀폭약,Cylinder-cut,127.38,103.33,0.04
정밀폭약,Cylinder-cut,164.84,133.72,0.022000000000000002
정밀폭약,Cylinder-cut,192.94,156.51,0.028999999999999998
정밀폭약,Cylinder-cut,264.12,214.26,0.013000000000000001
정밀폭약,Cylinder-cut,460.8,373.81,0.012
정밀폭약,Cylinder-cut,530.11,430.04,0.015
정밀폭약,Cylinder-cut,89.91,72.94,0.102
정밀폭약,Cylinder-cut,127.38,103.33,0.038
정밀폭약,Cylinder-cut,164.84,133.72,0.025
정밀폭약,Cylinder-cut,192.94,156.51,0.022000000000000002
정밀폭약,Cylinder-cut,262.24,212.74,0.019
정밀폭약,Cylinder-cut,462.67,375.33,0.012
정밀폭약,Cylinder-cut,530.11,430.04,0.015
정밀폭약,Cylinder-cut,19.38,16.96,0.889
정밀폭약,Cylinder-cut,26.83,23.49,0.386
정밀폭약,Cylinder-cut,34.29,30.01,0.259
정밀폭약,Cylinder-cut,37.27,32.62,0.182
정밀폭약,Cylinder-cut,40.25,35.23,0.156
정밀폭약,Cylinder-cut,70.06,61.33,0.062
정밀폭약,Cylinder-cut,76.03,66.55,0.038
정밀폭약,Cylinder-cut,92.42,80.91,0.031
정밀폭약,Cylinder-cut,23.19,18.09,0.24100000000000002
정밀폭약,Cylinder-cut,67.46,52.61,0.095
정밀폭약,Cylinder-cut,80.11,62.48,0.067
정밀폭약,Cylinder-cut,101.19,78.92,0.040999999999999995
정밀폭약,Cylinder-cut,109.63,85.5,0.013999999999999999
정밀폭약,Cylinder-cut,122.27,95.36,0.025
정밀폭약,Cylinder-cut,217.14,169.35,0.003
정밀폭약,Cylinder-cut,229.79,179.21,0.016
정밀폭약,Cylinder-cut,320.44,249.91,0.003
정밀폭약,Cylinder-cut,550.24,429.12,0.006999999999999999
정밀폭약,Cylinder-cut,23.0,16.95,0.419
정밀폭약,Cylinder-cut,32.5,23.95,0.381
정밀폭약,Cylinder-cut,98.75,72.76,0.049
정밀폭약,Cylinder-cut,145.0,106.84,0.051
정밀폭약,Cylinder-cut,170.0,125.26,0.037000000000000005
정밀폭약,Cylinder-cut,195.0,143.68,0.035
정밀폭약,Cylinder-cut,220.0,162.1,0.027000000000000003
정밀폭약,Cylinder-cut,40.25,30.78,0.289
정밀폭약,Cylinder-cut,51.43,39.33,0.051
정밀폭약,Cylinder-cut,84.97,64.98,0.064
정밀폭약,Cylinder-cut,105.1,80.37,0.042
정밀폭약,Cylinder-cut,109.57,83.79,0.038
정밀폭약,Cylinder-cut,107.33,82.08,0.048
정밀폭약,Cylinder-cut,129.69,99.18,0.02
정밀폭약,Cylinder-cut,152.05,116.28,0.016
정밀폭약,Cylinder-cut,174.41,133.38,0.013000000000000001
정밀폭약,Cylinder-cut,219.13,167.58,0.013000000000000001
정밀폭약,Cylinder-cut,39.76,30.53,0.47600000000000003
정밀폭약,Cylinder-cut,61.84,47.49,0.225
정밀폭약,Cylinder-cut,72.88,55.97,0.171
정밀폭약,Cylinder-cut,106.01,81.41,0.10300000000000001
정밀폭약,Cylinder-cut,132.52,101.76,0.06
정밀폭약,Cylinder-cut,161.23,123.81,0.084
정밀폭약,Cylinder-cut,194.36,149.24,0.005
정밀폭약,Cylinder-cut,72.88,55.97,0.114
정밀폭약,Cylinder-cut,106.01,81.41,0.013000000000000001
정밀폭약,Cylinder-cut,128.1,98.37,0.037000000000000005
정밀폭약,Cylinder-cut,150.19,115.33,0.018000000000000002
정밀폭약,Cylinder-cut,172.27,132.28,0.006
정밀폭약,Cylinder-cut,194.36,149.24,0.005
정밀폭약,Cylinder-cut,216.45,166.2,0.006
정밀폭약,Cylinder-cut,71.18,57.74,0.064
정밀폭약,Cylinder-cut,89.91,72.94,0.033
정밀폭약,Cylinder-cut,108.64,88.13,0.028999999999999998
정밀폭약,Cylinder-cut,127.38,103.33,0.040999999999999995
정밀폭약,Cylinder-cut,146.11,118.53,0.024
정밀폭약,Cylinder-cut,164.84,133.72,0.013999999999999999
정밀폭약,Cylinder-cut,187.32,151.96,0.013999999999999999
정밀폭약,Cylinder-cut,228.53,185.39,0.013000000000000001
정밀폭약,Cylinder-cut,192.94,156.51,0.017
정밀폭약,Cylinder-cut,55.22,42.4,0.244
정밀폭약,Cylinder-cut,66.26,50.88,0.1
정밀폭약,Cylinder-cut,77.3,59.36,0.04
정밀폭약,Cylinder-cut,97.18,74.62,0.071
정밀폭약,Cylinder-cut,117.06,89.89,0.048
정밀폭약,Cylinder-cut,183.32,140.76,0.028999999999999998
정밀폭약,Cylinder-cut,80.11,62.48,0.10300000000000001
정밀폭약,Cylinder-cut,111.73,87.14,0.040999999999999995
정밀폭약,Cylinder-cut,145.46,113.45,0.035
정밀폭약,Cylinder-cut,174.98,136.46,0.003
정밀폭약,Cylinder-cut,206.6,161.13,0.006
정밀폭약,Cylinder-cut,282.5,220.31,0.006
정밀폭약,Cylinder-cut,373.15,291.01,0.005
정밀폭약,Cylinder-cut,101.19,78.92,0.09
정밀폭약,Cylinder-cut,122.27,95.36,0.054000000000000006
정밀폭약,Cylinder-cut,164.44,128.24,0.040999999999999995
정밀폭약,Cylinder-cut,185.52,144.68,0.032
정밀폭약,Cylinder-cut,206.6,161.13,0.037000000000000005
정밀폭약,Cylinder-cut,65.35,50.97,0.076
정밀폭약,Cylinder-cut,75.89,59.19,0.10800000000000001
정밀폭약,Cylinder-cut,101.19,78.92,0.037000000000000005
정밀폭약,Cylinder-cut,122.27,95.36,0.054000000000000006
정밀폭약,Cylinder-cut,164.44,128.24,0.040999999999999995
정밀폭약,Cylinder-cut,185.52,144.68,0.044000000000000004
정밀폭약,Cylinder-cut,51.89,43.56,0.184
정밀폭약,Cylinder-cut,57.13,47.96,0.14400000000000002
정밀폭약,Cylinder-cut,76.4,64.14,0.111
정밀폭약,Cylinder-cut,83.16,69.81,0.113
정밀폭약,Cylinder-cut,90.43,75.92,0.092
정밀폭약,Cylinder-cut,97.87,82.16,0.076
정밀폭약,Cylinder-cut,105.14,88.26,0.087
정밀폭약,Cylinder-cut,112.91,94.79,0.073
정밀폭약,Cylinder-cut,37.12,30.7,0.213
정밀폭약,Cylinder-cut,44.19,36.55,0.198
정밀폭약,Cylinder-cut,68.94,57.02,0.125
정밀폭약,Cylinder-cut,86.62,71.64,0.052000000000000005
정밀폭약,Cylinder-cut,121.98,100.88,0.064
정밀폭약,Cylinder-cut,157.33,130.12,0.013000000000000001
정밀폭약,Cylinder-cut,28.75,21.18,0.51
정밀폭약,Cylinder-cut,58.0,42.73,0.20600000000000002
정밀폭약,Cylinder-cut,80.0,58.94,0.124
정밀폭약,Cylinder-cut,103.5,76.26,0.065
정밀폭약,Cylinder-cut,127.5,93.94,0.054000000000000006
정밀폭약,Cylinder-cut,151.75,111.81,0.043
정밀폭약,Cylinder-cut,176.25,129.86,0.018000000000000002
정밀폭약,Cylinder-cut,24.0,19.05,0.66
정밀폭약,Cylinder-cut,54.0,42.86,0.049
정밀폭약,Cylinder-cut,78.0,61.91,0.10800000000000001
정밀폭약,Cylinder-cut,98.0,77.78,0.068
정밀폭약,Cylinder-cut,118.0,93.66,0.038
정밀폭약,Cylinder-cut,138.0,109.53,0.04
정밀폭약,Cylinder-cut,158.0,125.4,0.021
정밀폭약,Cylinder-cut,61.84,47.49,0.16699999999999998
정밀폭약,Cylinder-cut,83.93,64.45,0.079
정밀폭약,Cylinder-cut,93.2,71.57,0.016
정밀폭약,Cylinder-cut,128.1,98.37,0.079
정밀폭약,Cylinder-cut,150.19,115.33,0.025
정밀폭약,Cylinder-cut,172.27,132.28,0.018000000000000002
정밀폭약,Cylinder-cut,194.36,149.24,0.013000000000000001
정밀폭약,Cylinder-cut,50.8,39.01,0.179
정밀폭약,Cylinder-cut,61.84,47.49,0.17800000000000002
정밀폭약,Cylinder-cut,102.48,78.69,0.03
정밀폭약,Cylinder-cut,128.1,98.37,0.033
정밀폭약,Cylinder-cut,150.19,115.33,0.025
정밀폭약,Cylinder-cut,172.27,132.28,0.025
정밀폭약,Cylinder-cut,194.36,149.24,0.021
정밀폭약,Cylinder-cut,29.56,26.33,0.845
