암석분류,SR SD,CR SD,최대입자속도
화성암,24.66,20.94,2.6439999999999997
화성암,19.52,17.39,1.5630000000000002
화성암,19.52,17.39,2.349
화성암,18.38,16.38,2.238
화성암,16.69,14.87,3.137
화성암,179.4,142.39,0.054000000000000006
화성암,122.75,109.36,0.069
화성암,130.81,116.54,0.055999999999999994
화성암,119.78,106.72,0.07200000000000001
화성암,152.36,129.38,0.06
화성암,210.4,166.99,0.03
화성암,217.4,172.55,0.038
화성암,145.95,130.02,0.049
화성암,179.14,152.12,0.03
화성암,165.1,140.2,0.033
화성암,365.4,290.02,0.016
화성암,375.6,298.11,0.013999999999999999
화성암,256.54,228.55,0.015
화성암,258.94,230.69,0.017
화성암,258.24,230.06,0.013999999999999999
화성암,82.6,65.56,0.13
화성암,55.15,49.14,0.156
화성암,64.35,57.33,0.124
화성암,54.31,48.38,0.174
화성암,60.81,54.18,0.11
화성암,138.6,110.01,0.094
화성암,93.2,83.03,0.09300000000000001
화성암,96.31,85.8,0.099
화성암,102.39,91.22,0.079
화성암,123.29,104.7,0.086
화성암,161.01,136.73,0.040999999999999995
화성암,136.61,121.71,0.045
화성암,140.57,125.24,0.047
화성암,142.84,127.25,0.035
화성암,144.67,128.89,0.036000000000000004
화성암,32.2,33.42,0.245
화성암,33.94,34.61,0.19699999999999998
화성암,36.1,36.1,0.157
화성암,36.0,36.0,0.102
화성암,36.0,36.0,0.129
화성암,29.39,31.45,0.252
화성암,54.47,56.53,0.07200000000000001
화성암,57.42,58.56,0.043
화성암,70.44,67.14,0.037000000000000005
화성암,60.9,60.9,0.057
화성암,60.9,60.9,0.047
화성암,49.72,53.2,0.08
화성암,76.74,79.65,0.065
화성암,99.07,94.44,0.028999999999999998
화성암,99.07,94.44,0.027000000000000003
화성암,99.19,94.55,0.022000000000000002
화성암,85.8,85.8,0.03
화성암,85.8,85.8,0.018000000000000002
화성암,99.1,102.86,0.062
화성암,99.1,102.86,0.036000000000000004
화성암,110.8,110.8,0.033
화성암,110.8,110.8,0.017
화성암,110.8,110.8,0.023
화성암,90.47,96.79,0.039
화성암,121.37,125.97,0.048
화성암,156.69,149.36,0.016
화성암,156.69,149.36,0.02
화성암,135.7,135.7,0.028999999999999998
화성암,135.7,135.7,0.012
화성암,110.8,118.54,0.03
화성암,130.98,159.0,0.04
화성암,130.75,158.73,0.07
화성암,93.01,126.73,0.064
화성암,123.91,153.4,0.042
화성암,125.54,155.42,0.03
화성암,95.82,129.16,0.033
화성암,23.6,32.15,0.226
화성암,32.26,39.93,0.242
화성암,31.2,38.63,0.335
화성암,30.83,38.17,0.32899999999999996
화성암,27.71,35.98,0.335
화성암,26.18,35.57,0.318
화성암,35.3,48.1,0.20199999999999999
화성암,47.38,58.66,0.254
화성암,46.64,57.74,0.369
화성암,36.86,49.69,0.222
화성암,36.25,48.87,0.22899999999999998
화성암,38.5,51.9,0.271
화성암,62.88,77.84,0.136
화성암,62.67,77.58,0.133
화성암,48.91,65.93,0.142
화성암,48.09,64.83,0.141
화성암,63.03,78.04,0.122
화성암,48.49,65.89,0.125
화성암,78.69,97.41,0.10300000000000001
화성암,79.95,98.98,0.08800000000000001
화성암,61.32,82.66,0.092
화성암,66.46,86.9,0.16399999999999998
화성암,61.0,82.9,0.09699999999999999
화성암,60.44,82.14,0.121
화성암,407.01,362.61,0.003
화성암,397.39,354.04,0.004
화성암,412.38,367.39,0.005
화성암,337.4,321.61,0.004
화성암,323.09,307.96,0.006999999999999999
화성암,415.61,363.82,0.006999999999999999
화성암,471.22,419.81,0.004
화성암,472.49,420.94,0.003
화성암,376.43,358.81,0.004
화성암,375.16,357.6,0.004
화성암,409.33,383.38,0.004
화성암,504.16,441.34,0.003
화성암,59.7,56.9,0.105
화성암,72.27,64.38,0.10099999999999999
화성암,63.5,56.57,0.11699999999999999
화성암,51.04,48.65,0.16399999999999998
화성암,50.46,48.1,0.16
화성암,54.77,51.3,0.14400000000000002
화성암,111.58,99.41,0.025
화성암,115.97,103.31,0.024
화성암,112.43,100.16,0.031
화성암,94.8,90.36,0.025
화성암,85.68,81.67,0.031
화성암,96.89,90.74,0.027999999999999997
화성암,136.2,127.56,0.013000000000000001
화성암,136.32,127.68,0.02
화성암,138.51,129.73,0.012
화성암,140.7,131.78,0.011000000000000001
화성암,175.01,153.2,0.009000000000000001
화성암,175.16,153.33,0.008
화성암,198.91,215.11,0.024
화성암,114.57,148.8,0.042
화성암,114.38,148.56,0.047
화성암,178.05,199.85,0.027000000000000003
화성암,125.4,157.99,0.027999999999999997
화성암,100.59,135.6,0.044000000000000004
화성암,99.78,134.5,0.055
화성암,100.96,136.09,0.042
화성암,124.1,156.36,0.034
화성암,122.75,154.66,0.045
화성암,28.3,36.75,0.872
화성암,28.44,36.93,0.768
화성암,28.71,37.29,0.581
화성암,25.64,34.56,0.604
화성암,31.8,40.07,0.462
화성암,81.74,88.41,0.124
화성암,80.95,87.55,0.113
화성암,47.1,61.18,0.20199999999999999
화성암,42.05,56.68,0.23600000000000002
화성암,51.05,64.32,0.158
화성암,102.62,110.98,0.084
화성암,58.93,76.53,0.22
화성암,58.79,76.35,0.33
화성암,59.25,76.95,0.20800000000000002
화성암,59.25,76.95,0.134
화성암,73.12,94.97,0.162
화성암,72.39,94.02,0.162
화성암,65.24,87.94,0.11800000000000001
화성암,64.54,87.01,0.252
화성암,64.87,87.45,0.19699999999999998
화성암,76.3,102.86,0.141
화성암,76.63,103.3,0.133
화성암,75.89,102.3,0.142
화성암,94.65,119.25,0.102
화성암,76.91,103.68,0.121
화성암,171.16,185.1,0.038
화성암,99.18,128.82,0.11800000000000001
화성암,98.36,127.75,0.102
화성암,88.43,119.2,0.135
화성암,107.8,135.82,0.075
화성암,281.71,250.98,0.013000000000000001
화성암,281.99,251.23,0.015
화성암,213.17,208.48,0.018000000000000002
화성암,213.17,208.48,0.015
화성암,232.56,221.67,0.013999999999999999
화성암,318.2,283.48,0.01
화성암,318.48,283.73,0.01
화성암,241.07,235.76,0.006
화성암,241.07,235.76,0.006
화성암,241.07,235.76,0.008
화성암,46.4,45.38,0.17
화성암,46.4,45.38,0.28600000000000003
화성암,52.31,49.86,0.23
화성암,51.38,48.98,0.337
화성암,50.46,48.1,0.217
화성암,62.43,61.06,0.165
화성암,62.33,60.95,0.179
화성암,69.63,66.37,0.163
화성암,68.59,65.38,0.188
화성암,67.55,64.39,0.17
화성암,82.1,80.3,0.12300000000000001
화성암,78.36,76.64,0.11
화성암,82.0,80.19,0.115
화성암,80.18,78.41,0.12
화성암,82.68,78.81,0.17300000000000001
화성암,94.4,92.32,0.122
화성암,103.11,98.29,0.10300000000000001
화성암,104.27,99.39,0.139
화성암,101.96,97.19,0.11199999999999999
화성암,103.35,98.51,0.096
화성암,110.54,108.11,0.107
화성암,114.17,111.66,0.12
화성암,110.43,108.0,0.079
화성암,119.28,113.7,0.10099999999999999
화성암,119.4,113.81,0.12300000000000001
화성암,229.86,236.95,0.013000000000000001
화성암,226.39,233.38,0.013999999999999999
화성암,227.94,234.98,0.01
화성암,225.66,232.62,0.018000000000000002
화성암,227.12,234.13,0.013999999999999999
화성암,184.22,189.9,0.018000000000000002
화성암,186.5,192.25,0.013999999999999999
화성암,181.48,187.08,0.024
화성암,182.03,187.64,0.022000000000000002
화성암,180.57,186.14,0.025
화성암,37.79,38.96,0.493
화성암,32.77,33.78,0.586
화성암,37.52,38.68,0.431
화성암,37.25,38.39,0.5
화성암,33.68,34.72,0.53
화성암,37.98,39.15,0.307
화성암,41.17,42.44,0.21100000000000002
화성암,40.26,41.5,0.3
화성암,34.99,37.01,0.6809999999999999
화성암,34.23,36.2,0.442
화성암,62.17,64.08,0.158
화성암,62.81,64.74,0.132
화성암,63.44,65.4,0.125
화성암,59.58,63.02,0.215
화성암,60.34,63.82,0.21899999999999997
화성암,82.61,85.16,0.1
화성암,81.88,84.41,0.124
화성암,81.06,83.56,0.111
화성암,78.26,82.78,0.131
화성암,79.02,83.58,0.131
화성암,100.78,103.89,0.055
화성암,99.05,102.1,0.075
화성암,99.96,103.04,0.054000000000000006
화성암,93.39,98.78,0.055999999999999994
화성암,91.78,97.08,0.10300000000000001
화성암,116.66,120.26,0.077
화성암,117.3,120.92,0.068
화성암,115.93,119.51,0.051
화성암,116.57,120.17,0.066
화성암,115.93,119.51,0.091
화성암,175.03,189.29,0.024
화성암,174.95,189.21,0.019
화성암,174.56,188.78,0.026000000000000002
화성암,173.69,187.84,0.022000000000000002
화성암,183.99,194.6,0.017
화성암,183.57,194.16,0.016
화성암,156.3,169.03,0.013999999999999999
화성암,155.82,168.52,0.016
화성암,155.58,168.26,0.013000000000000001
화성암,155.82,168.52,0.015
화성암,169.28,179.05,0.011000000000000001
화성암,163.45,172.88,0.015
화성암,62.85,67.97,0.087
화성암,63.17,68.31,0.1
화성암,65.7,71.05,0.055
화성암,61.66,66.69,0.095
화성암,71.33,75.45,0.07200000000000001
화성암,67.87,71.78,0.084
화성암,77.87,84.22,0.064
화성암,77.71,84.05,0.065
화성암,79.14,85.58,0.054000000000000006
화성암,77.55,83.87,0.057999999999999996
화성암,77.55,83.87,0.059000000000000004
화성암,87.14,92.16,0.057
화성암,97.79,105.76,0.053
화성암,98.03,106.02,0.048
화성암,97.32,105.25,0.043
화성암,100.4,108.58,0.038
화성암,108.94,115.22,0.028999999999999998
화성암,102.26,108.16,0.04
화성암,73.6,58.42,0.27
화성암,75.06,56.78,0.297
화성암,74.82,56.61,0.342
화성암,75.98,57.48,0.17
화성암,55.03,46.73,0.314
화성암,108.8,86.35,0.10400000000000001
화성암,121.47,91.9,0.094
화성암,129.33,97.84,0.079
화성암,134.18,101.51,0.059000000000000004
화성암,95.2,80.85,0.087
화성암,178.8,141.91,0.024
화성암,212.0,160.39,0.026000000000000002
화성암,210.39,159.17,0.033
화성암,215.01,162.66,0.022000000000000002
화성암,213.39,161.44,0.023
화성암,78.0,61.91,0.179
화성암,82.68,62.55,0.147
화성암,92.38,69.89,0.11599999999999999
화성암,80.37,60.8,0.154
화성암,82.91,62.72,0.146
화성암,43.8,34.76,0.41
화성암,43.88,33.2,0.537
화성암,42.49,32.15,0.49200000000000005
화성암,42.03,31.8,0.439
화성암,40.66,34.53,0.446
화성암,142.4,113.02,0.038
화성암,158.42,119.86,0.05
화성암,155.65,117.76,0.047
화성암,153.81,116.36,0.051
화성암,122.64,104.14,0.043
화성암,29.41,31.81,0.509
화성암,30.52,33.0,0.321
화성암,28.07,30.35,0.336
화성암,28.86,31.21,0.325
화성암,31.68,32.65,0.369
화성암,42.45,45.91,0.245
화성암,49.39,50.91,0.209
화성암,49.3,50.82,0.237
화성암,46.23,48.9,0.16699999999999998
화성암,53.0,53.0,0.17300000000000001
화성암,81.34,83.85,0.141
화성암,88.8,88.8,0.10400000000000001
화성암,79.69,82.15,0.094
화성암,79.05,81.49,0.1
화성암,88.1,88.1,0.08800000000000001
화성암,29.83,31.55,0.679
화성암,32.68,33.69,0.6659999999999999
화성암,30.03,30.96,0.815
화성암,30.67,31.62,0.6859999999999999
화성암,34.0,34.0,0.688
화성암,14.06,14.49,1.6369999999999998
화성암,13.52,14.3,1.524
화성암,15.4,15.4,1.768
화성암,17.0,17.0,1.5319999999999998
화성암,16.0,16.0,1.695
화성암,95.18,102.94,0.053
화성암,110.27,113.68,0.054000000000000006
화성암,109.18,112.55,0.06
화성암,118.2,118.2,0.077
화성암,118.8,118.8,0.062
화성암,206.18,222.98,0.013999999999999999
화성암,206.26,223.07,0.013999999999999999
화성암,206.81,223.66,0.008
화성암,206.73,223.58,0.009000000000000001
화성암,241.91,249.37,0.011000000000000001
화성암,231.95,250.85,0.018000000000000002
화성암,271.12,279.49,0.016
화성암,272.58,280.99,0.013000000000000001
화성암,249.66,264.06,0.018000000000000002
화성암,297.0,297.0,0.013000000000000001
화성암,40.62,41.88,0.29100000000000004
화성암,45.3,45.3,0.23
화성암,39.8,41.03,0.308
화성암,38.16,39.34,0.391
화성암,42.6,42.6,0.322
화성암,43.19,45.68,0.282
화성암,46.92,48.37,0.258
화성암,46.19,47.62,0.316
화성암,45.46,46.86,0.364
화성암,57.0,57.0,0.13
화성암,62.35,64.27,0.136
화성암,63.72,67.4,0.11599999999999999
화성암,64.8,64.8,0.191
화성암,67.5,67.5,0.139
화성암,65.6,65.6,0.183
화성암,71.07,76.86,0.135
화성암,80.52,83.0,0.09699999999999999
화성암,78.87,81.31,0.149
화성암,84.8,84.8,0.153
화성암,85.6,85.6,0.151
화성암,88.91,94.04,0.125
화성암,90.77,96.01,0.149
화성암,96.4,99.37,0.157
화성암,96.4,99.37,0.172
화성암,89.67,94.84,0.237
화성암,190.2,150.96,0.015
화성암,216.39,163.71,0.012
화성암,218.01,164.93,0.012
화성암,225.86,170.87,0.012
화성암,223.78,169.3,0.016
화성암,224.94,170.17,0.017
화성암,370.85,314.92,0.008
화성암,370.53,314.65,0.011000000000000001
화성암,369.55,313.82,0.012
화성암,368.57,312.98,0.012
화성암,367.59,312.15,0.013999999999999999
화성암,360.56,306.19,0.013999999999999999
화성암,93.73,79.6,0.12
화성암,92.75,78.77,0.161
화성암,126.56,95.74,0.087
화성암,127.02,96.09,0.095
화성암,125.86,95.22,0.081
화성암,91.61,77.8,0.086
화성암,76.91,65.31,0.139
화성암,79.04,67.12,0.111
화성암,76.91,65.31,0.131
화성암,99.4,78.89,0.084
화성암,102.77,77.75,0.09699999999999999
화성암,75.44,64.07,0.105
화성암,89.81,76.27,0.084
화성암,87.53,74.33,0.109
화성암,87.69,74.47,0.15
화성암,116.86,88.41,0.09
화성암,114.55,86.66,0.106
화성암,85.24,72.39,0.079
화성암,70.71,58.48,0.124
화성암,68.94,57.02,0.141
화성암,71.18,57.74,0.124
화성암,64.83,55.65,0.18899999999999997
화성암,106.07,87.72,0.027000000000000003
화성암,104.3,86.26,0.044000000000000004
화성암,108.64,88.13,0.033
화성암,96.45,82.79,0.035
화성암,141.42,116.96,0.021
화성암,139.65,115.5,0.038
화성암,146.11,118.53,0.028999999999999998
화성암,128.07,109.93,0.024
화성암,176.78,146.2,0.019
화성암,175.01,144.74,0.027000000000000003
화성암,183.57,148.92,0.021
화성암,159.7,137.08,0.019
화성암,215.67,178.37,0.006999999999999999
화성암,213.9,176.9,0.019
화성암,224.78,182.35,0.013999999999999999
화성암,194.48,166.94,0.012
화성암,263.4,217.84,0.009000000000000001
화성암,261.63,216.38,0.023
화성암,275.36,223.38,0.015
화성암,237.17,203.58,0.017
화성암,268.7,222.23,0.008
화성암,266.93,220.76,0.013000000000000001
화성암,280.98,227.93,0.01
화성암,241.91,207.65,0.006999999999999999
화성암,319.97,264.62,0.01
화성암,318.2,263.16,0.017
화성암,335.3,272.0,0.016
화성암,287.77,247.01,0.008
화성암,40.82,34.67,0.37
화성암,48.99,41.6,0.452
화성암,58.79,49.92,0.187
화성암,45.72,38.83,0.384
화성암,70.22,59.63,0.31
화성암,238.42,202.46,0.016
화성암,181.26,153.93,0.022000000000000002
화성암,75.12,63.79,0.264
화성암,130.64,110.94,0.038
화성암,181.26,153.93,0.03
화성암,207.39,176.11,0.03
화성암,42.46,36.05,0.452
화성암,57.15,48.54,0.483
화성암,63.69,54.08,0.36700000000000005
화성암,58.79,49.92,0.322
화성암,215.56,183.05,0.019
화성암,209.02,177.5,0.024
화성암,102.88,87.36,0.067
화성암,143.7,122.03,0.055999999999999994
화성암,164.93,140.06,0.039
화성암,136.94,105.15,0.018000000000000002
화성암,79.51,61.05,0.095
화성암,92.76,71.23,0.065
화성암,75.09,57.66,0.087
화성암,103.81,79.71,0.07
화성암,114.85,88.19,0.035
화성암,132.52,101.76,0.064
화성암,245.16,188.25,0.022000000000000002
화성암,256.2,196.73,0.019
화성암,265.04,203.52,0.013999999999999999
화성암,99.17,76.15,0.059000000000000004
화성암,100.27,77.0,0.052000000000000005
화성암,109.33,83.95,0.075
화성암,96.08,73.77,0.071
화성암,104.91,80.56,0.021
화성암,94.97,72.93,0.025
화성암,109.11,83.78,0.03
화성암,143.12,109.9,0.016
화성암,253.11,194.36,0.013999999999999999
화성암,100.27,77.0,0.038
화성암,101.82,78.18,0.049
화성암,110.65,84.97,0.049
화성암,96.52,74.11,0.055999999999999994
화성암,103.36,79.37,0.022000000000000002
화성암,93.43,71.74,0.019
화성암,108.0,82.93,0.033
화성암,141.35,108.54,0.018000000000000002
화성암,106.6,84.61,0.027000000000000003
화성암,99.2,78.74,0.04
화성암,104.6,83.02,0.022000000000000002
화성암,103.2,81.91,0.032
화성암,102.8,81.59,0.025
화성암,129.0,102.39,0.022000000000000002
화성암,146.6,116.36,0.018000000000000002
화성암,122.7,83.59,0.10800000000000001
화성암,145.46,99.1,0.156
화성암,178.04,121.29,0.051
화성암,79.0,62.27,0.17300000000000001
화성암,95.73,75.47,0.157
화성암,118.19,93.17,0.051
화성암,79.0,62.27,0.135
화성암,96.55,76.11,0.133
화성암,119.82,94.46,0.051
화성암,99.0,78.04,0.033
화성암,79.0,62.27,0.141
화성암,97.57,76.92,0.157
화성암,121.45,95.74,0.064
화성암,80.22,63.24,0.078
화성암,77.57,61.15,0.127
화성암,77.57,61.15,0.10800000000000001
화성암,99.2,78.2,0.13699999999999998
화성암,79.81,62.92,0.18100000000000002
화성암,77.36,60.99,0.11599999999999999
화성암,77.16,60.83,0.114
화성암,100.02,78.85,0.245
화성암,91.24,71.93,0.044000000000000004
화성암,79.4,62.6,0.091
화성암,77.57,61.15,0.14
화성암,100.84,79.49,0.18899999999999997
화성암,92.8,73.66,0.055999999999999994
화성암,77.4,61.43,0.1
화성암,75.8,60.16,0.122
화성암,99.8,79.21,0.121
화성암,75.4,59.85,0.16
화성암,90.8,72.07,0.138
화성암,106.0,84.13,0.13
화성암,92.75,78.77,0.035
화성암,80.67,68.5,0.038
화성암,62.71,53.25,0.067
화성암,85.24,72.39,0.028999999999999998
화성암,90.47,76.82,0.035
화성암,78.71,66.84,0.062
화성암,62.54,53.11,0.052000000000000005
화성암,88.39,73.1,0.102
화성암,86.62,71.64,0.114
화성암,89.91,72.94,0.102
화성암,80.64,69.22,0.12
화성암,123.74,102.34,0.033
화성암,121.98,100.88,0.049
화성암,127.38,103.33,0.04
화성암,110.68,95.0,0.022000000000000002
화성암,159.1,131.58,0.027000000000000003
화성암,157.33,130.12,0.032
화성암,164.84,133.72,0.022000000000000002
화성암,143.88,123.51,0.024
화성암,185.62,153.51,0.024
화성암,183.85,152.05,0.032
화성암,192.94,156.51,0.028999999999999998
화성암,167.6,143.86,0.01
화성암,252.79,209.07,0.013999999999999999
화성암,251.02,207.61,0.016
화성암,264.12,214.26,0.013000000000000001
화성암,227.68,195.44,0.008
화성암,438.41,362.58,0.012
화성암,436.64,361.12,0.01
화성암,460.8,373.81,0.012
화성암,393.7,337.94,0.012
화성암,503.81,416.67,0.015
화성암,502.05,415.21,0.015
화성암,530.11,430.04,0.015
화성암,452.21,388.16,0.012
화성암,88.39,73.1,0.102
화성암,86.62,71.64,0.08900000000000001
화성암,89.91,72.94,0.102
화성암,80.64,69.22,0.127
화성암,123.74,102.34,0.051
화성암,121.98,100.88,0.051
화성암,127.38,103.33,0.038
화성암,112.26,96.36,0.013000000000000001
화성암,159.1,131.58,0.028999999999999998
화성암,157.33,130.12,0.043
화성암,164.84,133.72,0.025
화성암,143.88,123.51,0.006
화성암,185.62,153.51,0.038
화성암,183.85,152.05,0.037000000000000005
화성암,192.94,156.51,0.022000000000000002
화성암,167.6,143.86,0.021
화성암,251.02,207.61,0.03
화성암,249.26,206.14,0.028999999999999998
화성암,262.24,212.74,0.019
화성암,226.1,194.08,0.008
화성암,440.17,364.04,0.012
화성암,438.41,362.58,0.013999999999999999
화성암,462.67,375.33,0.012
화성암,395.28,339.3,0.015
화성암,503.81,416.67,0.015
화성암,502.05,415.21,0.015
화성암,530.11,430.04,0.015
화성암,452.21,388.16,0.012
화성암,53.75,49.9,0.435
화성암,77.5,71.94,0.142
화성암,90.0,83.55,0.11599999999999999
화성암,150.0,139.25,0.057
화성암,227.5,211.19,0.023
화성암,375.0,348.12,0.011000000000000001
화성암,38.89,32.16,0.184
화성암,74.25,61.4,0.08800000000000001
화성암,114.9,95.03,0.032
화성암,88.39,73.1,0.043
화성암,173.24,143.28,0.022000000000000002
화성암,167.94,138.89,0.027000000000000003
화성암,30.4,24.13,0.22899999999999998
화성암,30.4,24.13,0.317
화성암,28.0,22.22,0.267
화성암,28.0,22.22,0.305
화성암,28.0,22.22,0.762
화성암,28.0,22.22,0.698
화성암,19.38,16.96,0.889
화성암,40.0,31.75,0.13699999999999998
화성암,40.0,31.75,0.268
화성암,38.0,30.16,0.24100000000000002
화성암,38.0,30.16,0.243
화성암,38.0,30.16,0.32899999999999996
화성암,38.0,30.16,0.33
화성암,26.83,23.49,0.386
화성암,50.0,39.69,0.11699999999999999
화성암,50.0,39.69,0.151
화성암,48.0,38.1,0.135
화성암,48.0,38.1,0.129
화성암,48.0,38.1,0.24
화성암,48.0,38.1,0.221
화성암,34.29,30.01,0.259
